Open,High,Low,Volume,Predicted Price
65.333336,65.865334,60.84,1,61.7487440290679
61.186001,66.589333,60.566666,1,64.32497950602331
67.456665,67.52533,64.159332,1,64.46547849248942
65.847336,67.0,65.504669,1,65.99918818453325
66.866669,67.946671,66.297997,1,66.78651697118687
67.518669,67.731331,66.089333,1,66.10678328897149
66.66333,67.258667,66.001335,1,66.14373191819766
66.592003,67.466667,66.267334,1,66.54874541410258
66.274002,66.725334,63.542667,1,64.01634684563791
63.618,65.732002,62.476665,1,63.86506157603574
66.318665,66.333336,63.658001,1,63.787085593979725
64.60067,67.333336,63.234669,1,65.13856863406501
67.099998,72.512665,66.915337,1,70.59263596669373
72.199997,75.688667,72.033333,1,74.25837684104567
81.431999,81.866669,79.040001,1,79.44023602048844
85.112663,91.852669,84.402664,1,89.20707360784073
