Date,Close,Predicted Price
2020-04-24,48.343334,-674.4498227467415
2020-04-27,53.25,-1078.0455525929117
2020-04-28,51.274666,-780.5006039188206
2020-04-29,53.367332,-833.3024940422032
2020-04-30,52.125332,-1502.8151688754876
2020-05-01,46.754665,-1730.0807935166451
2020-05-04,50.745998,-1001.6569263295038
2020-05-05,51.214001,-876.9783784466857
2020-05-06,52.172001,-556.4430729546267
2020-05-07,52.002666,-577.642757154826
2020-05-08,54.627998,-825.1096579249646
2020-05-11,54.085999,-848.7558914364432
2020-05-12,53.960667,-814.4257481639323
2020-05-13,52.730667,-989.95978404801
2020-05-14,53.555332,-695.522466301028
2020-05-15,53.278,-521.8027135336284
2020-05-18,54.242001,-583.4284085550706
2020-05-19,53.867332,-472.642554051886
2020-05-20,54.370667,-345.2120596794752
2020-05-21,55.173332,-615.6921849239133
2020-05-22,54.458668,-491.2694688013965
2020-05-26,54.591331,-387.7091842388033
2020-05-27,54.681999,-578.1693412851894
2020-05-28,53.720669,-342.6199165512193
2020-05-29,55.666668,-588.101828767801
2020-06-01,59.873333,-757.4767588308803
2020-06-02,58.770668,-682.3778611726044
2020-06-03,58.863998,-375.4189775026373
2020-06-04,57.625332,-427.97927919955816
2020-06-05,59.043999,-368.8356817289828
2020-06-08,63.327999,-712.4442821532045
2020-06-09,62.711334,-559.9894135459239
2020-06-10,68.33667,-947.0620876017748
2020-06-11,64.856003,-803.3925494622852
2020-06-12,62.352001,-853.9633504144587
2020-06-15,66.059998,-793.1452165768794
2020-06-16,65.475334,-703.085388298139
2020-06-17,66.119331,-474.2924685613538
2020-06-18,66.930664,-465.9176330383555
2020-06-19,66.726669,-408.0277142892627
2020-06-22,66.288002,-281.4066809938636
2020-06-23,66.785332,-281.1600819654562
2020-06-24,64.056664,-534.6592350248362
2020-06-25,65.732002,-441.6682759737672
2020-06-26,63.982666,-419.91783084823993
2020-06-29,67.290001,-427.9346516618847
2020-06-30,71.987335,-853.5919012040254
2020-07-01,74.641998,-653.7325736179716
2020-07-02,80.577332,-862.8581761233903
2020-07-06,91.438667,-1034.437665845735
2020-07-07,92.657333,-1083.001967244854
2020-07-08,91.05867,-802.0753960629177
2020-07-09,92.952003,-549.1939910309012
2020-07-10,102.976669,-1175.547812944259
2020-07-13,99.804001,-2022.4368463907904
2020-07-14,101.120003,-1180.7658274733187
2020-07-15,103.067329,-795.81754148967
2020-07-16,100.042664,-680.9783456403158
2020-07-17,100.056,-409.2031530649448
2020-07-20,109.533333,-829.4587578581493
2020-07-21,104.557335,-773.4891676330449
2020-07-22,106.155334,-667.9397382914012
2020-07-23,100.87133,-1227.340113772529
2020-07-24,94.466667,-965.7099820460138
2020-07-27,102.639999,-776.9020529905291
2020-07-28,98.432671,-762.2149956272109
2020-07-29,99.940666,-414.3404218910185
2020-07-30,99.166,-317.1479093513961
2020-07-31,95.384003,-571.134626463818
2020-08-03,99.0,-382.2291422042325
