Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,71.152496,71.819000,70.339500,70.992996,70.992996,49560000
2020-02-25,71.550003,71.842499,69.021004,69.316002,69.316002,51580000
2020-02-26,69.749001,70.683502,68.827499,69.523499,69.523499,49776000
2020-02-27,67.957001,68.470001,65.711998,65.747498,65.747498,62290000
2020-02-28,63.715500,67.122498,63.410500,66.962502,66.962502,80198000
2020-03-02,67.569504,69.373497,66.260002,69.316002,69.316002,55430000
2020-03-03,69.884003,70.409500,66.461998,66.886002,66.886002,56602000
2020-03-04,67.947998,69.139000,66.849998,69.080002,69.080002,47598000
2020-03-05,67.277496,67.681503,65.082001,65.737999,65.737999,54380000
2020-03-06,63.497501,65.137497,62.860500,64.787003,64.787003,64640000
2020-03-09,60.248001,62.636501,59.902000,60.789501,60.789501,69252000
2020-03-10,62.719501,63.792500,60.725498,63.758499,63.758499,54872000
2020-03-11,62.413502,62.846500,59.556999,60.544998,60.544998,54732000
2020-03-12,56.131001,59.437500,55.423500,55.577499,55.577499,94326000
2020-03-13,58.749500,60.720001,55.614498,60.713501,60.713501,79400000
2020-03-16,54.480499,57.273499,53.354000,53.650002,53.650002,96520000
2020-03-17,54.532001,56.299999,52.455002,55.903000,55.903000,83194000
2020-03-18,52.997002,55.249500,51.849998,54.559502,54.559502,93044000
2020-03-19,54.410999,57.630501,52.777500,55.583500,55.583500,74064000
2020-03-20,56.544998,56.924000,53.105000,53.410500,53.410500,82878000
2020-03-23,52.818501,53.345501,50.443501,52.706501,52.706501,83672000
2020-03-24,55.199001,56.666500,54.321499,56.500500,56.500500,72468000
2020-03-25,56.229000,57.308498,54.150501,55.081001,55.081001,90324000
2020-03-26,55.736000,58.574001,54.601501,58.146000,58.146000,76562000
2020-03-27,56.373501,57.552502,55.200001,55.513000,55.513000,62794000
2020-03-30,56.632000,57.549999,54.924500,57.315498,57.315498,58736000
2020-03-31,57.436501,58.669998,56.835999,58.097500,58.097500,65228000
2020-04-01,56.200001,56.471001,54.674500,55.105000,55.105000,51970000
2020-04-02,55.000000,56.138500,54.656502,55.851501,55.851501,56410000
2020-04-03,55.735500,55.939499,53.754002,54.634998,54.634998,51374000
2020-04-06,56.650002,59.537498,56.250000,59.159500,59.159500,63320000
2020-04-07,60.850498,61.039001,58.862499,59.127998,59.127998,61620000
2020-04-08,60.154999,60.744999,59.197498,60.349998,60.349998,40334000
2020-04-09,60.909000,61.099499,59.620998,60.328499,60.328499,54028000
2020-04-13,60.075001,60.726002,59.116501,60.520500,60.520500,38702000
2020-04-14,61.998501,63.787498,61.426998,63.261501,63.261501,63358000
2020-04-15,62.325500,63.755501,61.700001,62.865002,62.865002,42236000
2020-04-16,63.356998,63.667999,61.910000,62.871498,62.871498,57896000
2020-04-17,64.084999,64.500000,63.299999,63.950001,63.950001,51050000
2020-04-20,63.494499,63.841000,62.821999,63.057499,63.057499,35292000
2020-04-21,62.135502,62.500000,60.250000,60.608002,60.608002,49648000
2020-04-22,62.055500,63.993999,61.860001,62.920502,62.920502,46296000
2020-04-23,63.286999,64.407501,63.026501,63.558498,63.558498,34202000
2020-04-24,62.750000,63.885502,62.200001,63.830002,63.830002,37402000
2020-04-27,64.599998,64.705002,63.252998,63.542999,63.542999,44186000
2020-04-28,64.160004,64.237999,61.519001,61.629501,61.629501,80700000
2020-04-29,67.250000,68.007500,66.336502,67.109001,67.109001,108358000
2020-04-30,66.568001,67.500000,66.074997,67.334999,67.334999,55842000
2020-05-01,66.204498,67.571503,65.483002,65.865997,65.865997,48872000
2020-05-04,65.406502,66.223503,64.800499,66.144997,66.144997,30806000
2020-05-05,66.875000,68.550499,66.751503,67.450996,67.450996,39666000
2020-05-06,67.900002,68.434502,67.256500,67.271500,67.271500,31732000
2020-05-07,68.065498,68.800003,67.626999,68.463997,68.463997,30652000
2020-05-08,69.091003,69.832001,68.600502,69.217003,69.217003,33326000
2020-05-11,68.839500,70.776497,68.775002,70.179497,70.179497,32718000
2020-05-12,70.411003,70.716499,68.725502,68.759003,68.759003,33918000
2020-05-13,68.807999,69.266502,66.400497,67.416496,67.416496,40368000
2020-05-14,66.676003,67.868500,66.165001,67.843002,67.843002,36660000
2020-05-15,67.413002,68.728996,66.949997,68.653000,68.653000,41544000
2020-05-18,68.079002,69.638000,67.709999,69.259003,69.259003,47094000
2020-05-19,69.274002,69.624496,68.688004,68.720001,68.720001,31586000
2020-05-20,69.458000,70.601501,69.371002,70.458000,70.458000,38262000
2020-05-21,70.549500,70.822998,69.719498,70.337502,70.337502,30894000
2020-05-22,70.195000,70.849998,69.797501,70.662003,70.662003,28544000
2020-05-26,72.098000,72.255501,70.970001,71.068497,71.068497,44590000
2020-05-27,71.000000,71.267502,69.730003,71.014000,71.014000,31684000
2020-05-28,70.000000,72.223000,69.954002,70.912003,70.912003,35170000
2020-05-29,71.021500,71.836502,70.799004,71.676003,71.676003,37044000
2020-06-01,71.285004,72.079002,71.113998,71.743500,71.743500,25162000
2020-06-02,71.750000,72.150002,71.080498,72.115501,72.115501,23442000
2020-06-03,72.135002,72.450500,71.581001,71.962502,71.962502,27732000
2020-06-04,71.838997,72.066002,70.300499,70.714996,70.714996,26982000
2020-06-05,70.781998,72.315002,70.380997,72.000999,72.000999,42642000
2020-06-08,71.314003,72.449997,71.223999,72.402000,72.402000,33878000
2020-06-09,72.262001,73.389999,72.117996,72.603996,72.603996,33624000
2020-06-10,73.075500,73.638496,72.718002,73.235001,73.235001,31762000
2020-06-11,72.051498,72.580002,69.920502,70.095001,70.095001,47144000
2020-06-12,71.292999,71.725502,69.290001,70.646004,70.646004,36676000
2020-06-15,69.474503,71.250000,69.360001,71.037003,71.037003,30468000
2020-06-16,72.449997,72.858498,71.449501,72.323502,72.323502,30648000
2020-06-17,72.647003,73.110001,71.756500,72.626999,72.626999,30610000
2020-06-18,72.492500,72.648499,71.311996,71.706001,71.706001,34862000
2020-06-19,72.000000,72.224998,70.949997,71.232002,71.232002,52784000
2020-06-22,71.250504,72.547501,70.959503,72.532997,72.532997,29442000
2020-06-23,72.599998,73.760002,72.250000,73.198997,73.198997,37752000
2020-06-24,73.164001,73.789497,71.500000,71.635002,71.635002,31592000
2020-06-25,71.560997,72.115997,70.976997,72.055000,72.055000,23958000
2020-06-26,71.631500,71.850998,67.750000,68.126999,68.126999,97640000
2020-06-29,68.016998,69.900002,67.582497,69.858498,69.858498,45074000
2020-06-30,69.844002,71.199997,69.346497,70.902496,70.902496,40286000
2020-07-01,70.958504,72.424004,70.709000,72.099998,72.099998,42182000
2020-07-02,72.592003,74.426003,72.553497,73.496498,73.496498,57218000
2020-07-06,74.407501,75.500000,73.848999,74.982498,74.982498,44712000
2020-07-07,74.806503,76.066002,74.485001,74.496002,74.496002,42364000
2020-07-08,75.040001,75.558502,74.614998,75.180000,75.180000,31766000
2020-07-09,75.496498,76.457001,74.779503,75.932999,75.932999,41836000
2020-07-10,75.662498,77.067001,75.036003,76.950500,76.950500,35918000
2020-07-13,77.497002,78.818001,75.328003,75.611504,75.611504,42954000
2020-07-14,74.639503,76.139999,74.296501,76.042999,76.042999,38108000
2020-07-15,76.161499,76.816498,74.891502,75.844002,75.844002,31026000
2020-07-16,75.074997,75.795502,74.413498,75.746002,75.746002,26484000
2020-07-17,75.845497,76.171501,74.904999,75.842499,75.842499,34264000
2020-07-20,75.750000,78.450500,75.135002,78.192001,78.192001,30166000
2020-07-21,79.251503,79.352501,77.630997,77.795998,77.795998,27486000
2020-07-22,77.785500,78.348999,77.161499,78.242500,78.242500,24482000
2020-07-23,78.296501,78.517502,75.429497,75.837502,75.837502,33910000
2020-07-24,74.959503,75.771500,74.379501,75.410500,75.410500,29902000
2020-07-27,75.663002,76.877998,75.616501,76.471497,76.471497,27124000
2020-07-28,76.250000,76.300499,75.026001,75.182503,75.182503,30910000
2020-07-29,75.250000,76.666496,75.150497,76.175499,76.175499,22676000
2020-07-30,74.898499,77.044502,74.758499,76.918503,76.918503,36042000
2020-07-31,74.852501,75.250999,72.699997,74.397499,74.397499,91468000
2020-08-03,74.550003,74.886497,73.585999,74.138000,74.138000,45482000
