Open,High,Low,Volume,Close,Date,Stock,OpenInt
0.3112,0.32142,0.3112,1,0.31507,11-12-1985,AAPL,0
0.3176,0.32272,0.3176,1,0.32018,12-12-1985,AAPL,0
0.32018,0.32272,0.31507,1,0.32018,13-12-1985,AAPL,0
0.32018,0.33938,0.32018,1,0.33297,16-12-1985,AAPL,0
0.33297,0.33551,0.32525,1,0.32911,17-12-1985,AAPL,0
0.34192,0.36496,0.34192,1,0.35473,18-12-1985,AAPL,0
0.35473,0.36241,0.35344,1,0.35985,19-12-1985,AAPL,0
0.35985,0.36241,0.35473,1,0.3573,20-12-1985,AAPL,0
0.3573,0.35985,0.34448,1,0.34962,23-12-1985,AAPL,0
0.34962,0.35089,0.34448,1,0.34702,24-12-1985,AAPL,0
0.34702,0.35089,0.34448,1,0.34702,26-12-1985,AAPL,0
0.34702,0.36112,0.34702,1,0.3573,27-12-1985,AAPL,0
0.3573,0.36112,0.35344,1,0.35473,30-12-1985,AAPL,0
0.35473,0.3573,0.35089,1,0.35089,31-12-1985,AAPL,0
0.35089,0.35473,0.34702,1,0.35473,02-01-1986,AAPL,0
0.35473,0.3573,0.35344,1,0.3573,03-01-1986,AAPL,0
0.3573,0.3573,0.34962,1,0.35473,06-01-1986,AAPL,0
0.35473,0.36754,0.35344,1,0.36754,07-01-1986,AAPL,0
0.36754,0.37522,0.36241,1,0.36496,08-01-1986,AAPL,0
0.36496,0.36754,0.34962,1,0.36112,09-01-1986,AAPL,0
0.36112,0.36883,0.36112,1,0.36241,10-01-1986,AAPL,0
0.36241,0.36883,0.35985,1,0.36754,13-01-1986,AAPL,0
0.36754,0.37906,0.35985,1,0.37138,14-01-1986,AAPL,0
0.37138,0.38289,0.36883,1,0.38164,15-01-1986,AAPL,0
0.38164,0.39443,0.38164,1,0.39186,16-01-1986,AAPL,0
0.39186,0.39443,0.38164,1,0.38289,17-01-1986,AAPL,0
0.38289,0.38289,0.37394,1,0.38164,20-01-1986,AAPL,0
0.38164,0.38419,0.37906,1,0.38289,21-01-1986,AAPL,0
0.38289,0.38419,0.3573,1,0.37394,22-01-1986,AAPL,0
0.37394,0.37522,0.36241,1,0.36754,23-01-1986,AAPL,0
0.36754,0.37394,0.36112,1,0.36112,24-01-1986,AAPL,0
0.36112,0.36241,0.35089,1,0.35344,27-01-1986,AAPL,0
0.35344,0.3573,0.35089,1,0.35473,28-01-1986,AAPL,0
0.35473,0.38932,0.35089,1,0.37651,29-01-1986,AAPL,0
0.37522,0.37522,0.36496,1,0.36754,30-01-1986,AAPL,0
0.36754,0.37138,0.36496,1,0.36883,31-01-1986,AAPL,0
0.36883,0.38289,0.36496,1,0.38164,03-02-1986,AAPL,0
0.38164,0.38932,0.37906,1,0.37906,04-02-1986,AAPL,0
0.37906,0.38164,0.37522,1,0.37906,05-02-1986,AAPL,0
0.37906,0.38674,0.37651,1,0.38419,06-02-1986,AAPL,0
0.38419,0.38419,0.37522,1,0.38289,07-02-1986,AAPL,0
0.38289,0.39186,0.37906,1,0.38164,10-02-1986,AAPL,0
0.38164,0.38289,0.37522,1,0.38164,11-02-1986,AAPL,0
0.38164,0.38289,0.37906,1,0.38289,12-02-1986,AAPL,0
0.38289,0.38289,0.37906,1,0.38164,13-02-1986,AAPL,0
0.38164,0.38419,0.37906,1,0.37906,14-02-1986,AAPL,0
0.37906,0.38289,0.37138,1,0.38164,18-02-1986,AAPL,0
0.38164,0.40724,0.38164,1,0.39956,19-02-1986,AAPL,0
0.39956,0.40593,0.39699,1,0.40081,20-02-1986,AAPL,0
0.40081,0.41111,0.40081,1,0.40339,21-02-1986,AAPL,0
0.40339,0.41111,0.39956,1,0.41111,24-02-1986,AAPL,0
0.41111,0.42134,0.40081,1,0.42134,25-02-1986,AAPL,0
0.42134,0.42646,0.41491,1,0.41491,26-02-1986,AAPL,0
0.41491,0.41618,0.40724,1,0.40853,27-02-1986,AAPL,0
0.40853,0.41366,0.39699,1,0.39956,28-02-1986,AAPL,0
0.39956,0.40081,0.39186,1,0.39316,03-03-1986,AAPL,0
0.39316,0.39956,0.39186,1,0.39316,04-03-1986,AAPL,0
0.39316,0.40724,0.38674,1,0.40339,05-03-1986,AAPL,0
0.40339,0.41111,0.40081,1,0.40593,06-03-1986,AAPL,0
0.40593,0.40593,0.39443,1,0.39443,07-03-1986,AAPL,0
0.39443,0.39699,0.39316,1,0.39316,10-03-1986,AAPL,0
0.39316,0.39699,0.39186,1,0.39699,11-03-1986,AAPL,0
0.39699,0.40081,0.39443,1,0.39443,12-03-1986,AAPL,0
0.39443,0.39956,0.38932,1,0.39443,13-03-1986,AAPL,0
0.39443,0.41874,0.39443,1,0.41618,14-03-1986,AAPL,0
0.41491,0.41491,0.40593,1,0.41491,17-03-1986,AAPL,0
0.41491,0.4354,0.41366,1,0.42902,18-03-1986,AAPL,0
